iter	Logloss
0	0.6526327046
1	0.6214266493
2	0.5976645051
3	0.578677396
4	0.5647121279
5	0.5533182648
6	0.5446997605
7	0.5381306902
8	0.5331042629
9	0.5294704096
10	0.5260185393
11	0.5238883912
12	0.521756379
13	0.520145492
14	0.5188018566
15	0.517758853
16	0.5168583983
17	0.5161016103
18	0.515618317
19	0.5150505215
20	0.5147121817
21	0.5143124678
22	0.5141385521
23	0.5138321575
24	0.5136001904
25	0.5134804139
26	0.5132960004
27	0.5132133302
28	0.5131542681
29	0.5130299964
30	0.5129673235
31	0.5128559521
32	0.5128125022
33	0.5127303753
34	0.5126701785
35	0.5126389611
36	0.5126091076
37	0.5125927908
38	0.5125455391
39	0.5125188073
40	0.5124579605
41	0.5124485106
42	0.5124357668
43	0.5124149619
44	0.512404057
45	0.5123608654
46	0.5123499154
47	0.5123345285
48	0.5123193949
49	0.512312026
50	0.5122901293
51	0.5122893724
52	0.5122774467
53	0.5122773984
54	0.512260345
55	0.5122596256
56	0.5122416567
57	0.5122290004
58	0.5122176915
59	0.5122133707
60	0.5122034284
61	0.5121963899
62	0.5121901804
63	0.5121908671
64	0.5121873857
65	0.5121707363
66	0.5121703442
67	0.5121601157
68	0.5121616082
69	0.5121497705
70	0.5121453114
71	0.5121409764
72	0.5121142959
73	0.5120990377
74	0.5120961755
75	0.5120928985
76	0.5120773812
77	0.5120743864
78	0.5120694653
79	0.5120683668
80	0.5120645629
81	0.5120481585
82	0.5120382661
83	0.5120361856
84	0.512036589
85	0.5120315843
86	0.5120195689
87	0.5120213216
88	0.512015116
89	0.5120151201
90	0.5120091162
91	0.5119997491
92	0.511994731
93	0.5119892128
94	0.511986861
95	0.5119855256
96	0.5119770933
97	0.5119749673
98	0.5119695601
99	0.5119601639
100	0.5119563568
101	0.5119422125
102	0.5119374575
103	0.511933241
104	0.5119284432
105	0.5119227671
106	0.5119135137
107	0.5119072296
108	0.5118980442
109	0.5118956598
110	0.5118859666
111	0.5118797645
112	0.5118814884
113	0.51187037
114	0.5118654782
115	0.5118633164
116	0.5118501242
117	0.511845456
118	0.5118391298
119	0.5118357609
120	0.5118311337
121	0.5118246473
122	0.5118206079
123	0.5118156558
124	0.5118144896
125	0.5118079554
126	0.5118002037
127	0.5117955228
128	0.5117880676
129	0.5117806783
130	0.5117720356
131	0.511763711
132	0.5117596123
133	0.5117541309
134	0.5117461207
135	0.5117416961
136	0.5117267844
137	0.5117210836
138	0.5117136212
139	0.5117096426
140	0.5116989915
141	0.5116921812
142	0.5116857658
143	0.5116825689
144	0.5116713855
145	0.5116556191
146	0.5116439264
147	0.5116341592
148	0.5116350808
149	0.5116254209
150	0.5116198727
151	0.5116145311
152	0.5116076037
153	0.511595384
154	0.5115854968
155	0.5115813579
156	0.5115753461
157	0.5115753167
158	0.5115674822
159	0.5115637623
160	0.5115527243
161	0.5115381824
162	0.5115310906
163	0.5115256677
164	0.5115126508
165	0.511501112
166	0.5114950746
167	0.5114860359
168	0.511476021
169	0.5114667086
170	0.5114627363
171	0.5114565266
172	0.5114541705
173	0.5114402594
174	0.5114350546
175	0.5114290699
176	0.511420291
177	0.5114139101
178	0.5114043263
179	0.5114008697
180	0.5113933897
181	0.5113806628
182	0.5113769115
183	0.5113670351
184	0.5113635498
185	0.5113500692
186	0.5113454526
187	0.5113375736
188	0.5113338614
189	0.5113290865
190	0.5113217607
191	0.5113189178
192	0.5113129919
193	0.5113064043
194	0.5113022703
195	0.511289425
196	0.5112858588
197	0.5112805507
198	0.5112715539
199	0.511264284
200	0.5112479887
201	0.5112450553
202	0.5112291466
203	0.5112286297
204	0.5112176775
205	0.5112072103
206	0.5112043421
207	0.5111976741
208	0.5111930042
209	0.5111824443
210	0.5111742685
211	0.5111655398
212	0.5111532585
213	0.511148821
214	0.511140766
215	0.511133513
216	0.5111287657
217	0.5111180363
218	0.5111133658
219	0.5111100556
220	0.5111067658
221	0.5110970927
222	0.5110954708
223	0.5110870978
224	0.5110797002
225	0.5110718543
226	0.5110675314
227	0.5110622767
228	0.5110530836
229	0.5110460985
230	0.5110382251
231	0.5110319397
232	0.5110287726
233	0.5110242088
234	0.5110156826
235	0.5110082454
236	0.5110033936
237	0.5109964306
238	0.5109949343
239	0.5109850675
240	0.5109749686
241	0.5109721001
242	0.5109668367
243	0.5109612272
244	0.5109568425
245	0.5109509021
246	0.5109381137
247	0.5109309352
248	0.5109229331
249	0.510917217
250	0.5109082463
251	0.5109038802
252	0.5109018822
253	0.5108847243
254	0.5108737293
255	0.5108640103
256	0.5108578811
257	0.5108480389
258	0.5108403027
259	0.5108348426
260	0.5108274881
261	0.5108214823
262	0.5108210025
263	0.5108148922
264	0.5108098841
265	0.5108020337
266	0.5107990727
267	0.5107947871
268	0.5107892843
269	0.5107834089
270	0.5107764178
271	0.5107697513
272	0.5107620777
273	0.5107604133
274	0.5107526326
275	0.5107469531
276	0.5107474971
277	0.5107382437
278	0.5107313701
279	0.5107252279
280	0.5107247577
281	0.5107194704
282	0.5107128154
283	0.5107067099
284	0.5106994127
285	0.5106978479
286	0.5106923148
287	0.510685023
288	0.5106839499
289	0.5106801485
290	0.5106726994
291	0.5106680843
292	0.5106623311
293	0.5106445203
294	0.5106417323
295	0.5106310551
296	0.5106298616
297	0.5106227078
298	0.5106196817
299	0.5106170815
300	0.5106103821
301	0.5106021194
302	0.5105883696
303	0.510585718
304	0.5105824512
305	0.5105723499
306	0.5105651776
307	0.5105616516
308	0.5105571412
309	0.5105506838
310	0.5105428489
311	0.5105333399
312	0.5105318749
313	0.5105266707
314	0.5105157446
315	0.5105120428
316	0.5105075673
317	0.5105022888
318	0.5104965937
319	0.5104936277
320	0.5104861931
321	0.5104861349
322	0.5104793084
323	0.5104719236
324	0.5104679341
325	0.5104652122
326	0.5104636514
327	0.5104563123
328	0.5104530625
329	0.5104439359
330	0.5104363949
331	0.5104272824
332	0.5104257279
333	0.5104200798
334	0.5104172689
335	0.5104156692
336	0.5104094753
337	0.5104010343
338	0.5103979574
339	0.5103905947
340	0.5103856864
341	0.5103846122
342	0.5103735901
343	0.5103687697
344	0.5103658539
345	0.5103626152
346	0.5103578156
347	0.5103531529
348	0.5103515672
349	0.5103380847
350	0.5103316335
351	0.5103238702
352	0.5103137376
353	0.5103099998
354	0.5103034726
355	0.5102970706
356	0.510287522
357	0.510283414
358	0.5102814366
359	0.5102754864
360	0.5102709651
361	0.5102652858
362	0.5102601886
363	0.5102606243
364	0.5102592083
365	0.510251883
366	0.5102475006
367	0.5102431062
368	0.5102407067
369	0.5102361303
370	0.5102332886
371	0.5102227962
372	0.5102191187
373	0.5102163363
374	0.5102123923
375	0.5102086229
376	0.5102034117
377	0.5101991207
378	0.5101953684
379	0.5101935955
380	0.5101889848
381	0.5101900654
382	0.5101775117
383	0.5101726462
