iter	Passed	Remaining
0	73	73261
1	91	45882
2	108	36156
3	125	31301
4	142	28368
5	159	26412
6	176	25058
7	193	24054
8	211	23286
9	228	22651
10	245	22089
11	263	21679
12	289	21994
13	307	21624
14	324	21317
15	341	21013
16	358	20756
17	375	20485
18	392	20246
19	408	20018
20	424	19795
21	441	19610
22	457	19415
23	473	19265
24	490	19118
25	506	18967
26	523	18870
27	539	18733
28	555	18612
29	572	18523
30	591	18473
31	606	18358
32	623	18274
33	641	18226
34	659	18191
35	676	18117
36	692	18028
37	711	18000
38	728	17940
39	745	17902
40	763	17856
41	779	17776
42	797	17753
43	813	17665
44	830	17627
45	848	17604
46	866	17571
47	886	17573
48	906	17584
49	927	17628
50	946	17609
51	966	17613
52	982	17549
53	998	17493
54	1017	17485
55	1035	17458
56	1054	17447
57	1070	17383
58	1086	17335
59	1102	17280
60	1120	17247
61	1138	17230
62	1156	17200
63	1174	17182
64	1192	17151
65	1210	17134
66	1227	17097
67	1244	17051
68	1260	17009
69	1276	16963
70	1294	16932
71	1312	16910
72	1330	16890
73	1347	16856
74	1364	16822
75	1381	16801
76	1400	16784
77	1417	16761
78	1433	16716
79	1452	16699
80	1471	16690
81	1489	16675
82	1506	16646
83	1523	16616
84	1541	16594
85	1560	16581
86	1576	16539
87	1594	16525
88	1611	16496
89	1629	16477
90	1647	16458
91	1666	16443
92	1682	16412
93	1702	16408
94	1719	16378
95	1736	16348
96	1754	16331
97	1770	16292
98	1788	16275
99	1807	16268
100	1824	16237
101	1840	16206
102	1856	16171
103	1875	16160
104	1894	16148
105	1912	16129
106	1929	16106
107	1948	16090
108	1966	16074
109	1985	16063
110	2002	16034
111	2021	16024
112	2037	15996
113	2056	15981
114	2073	15955
115	2091	15941
116	2110	15928
117	2129	15916
118	2146	15894
119	2164	15874
120	2182	15856
121	2201	15841
122	2219	15822
123	2236	15800
124	2252	15768
125	2270	15749
126	2286	15714
127	2304	15697
128	2322	15683
129	2340	15664
130	2357	15636
131	2375	15618
132	2393	15605
133	2411	15587
134	2430	15573
135	2448	15554
136	2466	15538
137	2483	15515
138	2501	15494
139	2519	15478
140	2538	15463
141	2556	15449
142	2575	15432
143	2592	15412
144	2611	15397
145	2629	15382
146	2648	15367
147	2667	15355
148	2687	15350
149	2706	15335
150	2724	15321
151	2743	15304
152	2761	15289
153	2780	15275
154	2798	15257
155	2815	15232
156	2834	15217
157	2852	15201
158	2871	15186
159	2889	15169
160	2908	15154
161	2927	15143
162	2945	15126
163	2965	15116
164	2984	15104
165	3003	15090
166	3022	15077
167	3040	15059
168	3060	15051
169	3080	15037
170	3098	15019
171	3116	15000
172	3134	14983
173	3153	14968
174	3172	14955
175	3190	14939
176	3208	14920
177	3226	14901
178	3244	14880
179	3262	14863
180	3281	14847
181	3300	14833
182	3318	14816
183	3337	14801
184	3355	14783
185	3373	14764
186	3392	14750
187	3411	14735
188	3430	14718
189	3449	14704
190	3467	14685
191	3485	14668
192	3503	14651
193	3523	14640
194	3543	14629
195	3562	14614
196	3582	14601
197	3600	14585
198	3620	14573
199	3639	14557
200	3657	14537
201	3674	14518
202	3691	14494
203	3710	14477
204	3728	14458
205	3747	14443
206	3765	14426
207	3784	14410
208	3802	14392
209	3821	14375
210	3840	14359
211	3861	14354
212	3880	14339
213	3900	14324
214	3919	14309
215	3937	14292
216	3956	14276
217	3976	14263
218	3995	14247
219	4013	14228
220	4030	14208
221	4049	14190
222	4067	14172
223	4086	14156
224	4105	14140
225	4124	14127
226	4144	14111
227	4163	14095
228	4181	14076
229	4198	14056
230	4217	14041
231	4237	14026
232	4255	14007
233	4273	13988
234	4292	13973
235	4311	13956
236	4330	13940
237	4349	13924
238	4367	13906
239	4386	13889
240	4405	13873
241	4423	13856
242	4442	13838
243	4460	13821
244	4479	13802
245	4498	13786
246	4517	13772
247	4536	13756
248	4555	13738
249	4574	13722
250	4592	13705
251	4611	13689
252	4629	13668
253	4648	13652
254	4667	13635
255	4686	13619
256	4704	13601
257	4722	13582
258	4741	13564
259	4759	13546
260	4777	13527
261	4795	13506
262	4813	13488
263	4831	13470
264	4850	13453
265	4868	13434
266	4886	13415
267	4904	13396
268	4923	13378
269	4941	13361
270	4960	13345
271	4980	13329
272	4999	13313
273	5017	13293
274	5036	13279
275	5055	13262
276	5074	13244
277	5093	13228
278	5113	13213
279	5131	13195
280	5150	13177
281	5168	13160
282	5187	13141
283	5206	13125
284	5224	13108
285	5243	13090
286	5261	13071
287	5279	13052
288	5298	13034
289	5316	13016
290	5335	13000
291	5353	12979
292	5371	12961
293	5391	12945
294	5409	12928
295	5428	12912
296	5447	12893
297	5466	12877
298	5485	12860
299	5504	12843
300	5524	12828
301	5543	12812
302	5562	12796
303	5581	12778
304	5600	12761
305	5619	12744
306	5637	12726
307	5656	12709
308	5675	12691
309	5694	12675
310	5713	12657
311	5733	12643
312	5752	12626
313	5771	12609
314	5795	12602
315	5816	12590
316	5837	12576
317	5855	12558
318	5873	12539
319	5891	12519
320	5910	12502
321	5928	12483
322	5947	12466
323	5967	12450
324	5985	12431
325	6004	12413
326	6023	12396
327	6042	12380
328	6061	12362
329	6079	12343
330	6098	12325
331	6117	12308
332	6135	12289
333	6153	12270
334	6172	12252
335	6191	12235
336	6210	12217
337	6229	12200
338	6245	12176
339	6263	12158
340	6281	12139
341	6300	12121
342	6319	12104
343	6338	12086
344	6354	12064
345	6373	12046
346	6391	12028
347	6410	12010
348	6429	11992
349	6448	11975
350	6467	11958
351	6486	11941
352	6505	11923
353	6523	11904
354	6542	11886
355	6559	11866
356	6578	11848
357	6596	11830
358	6614	11810
359	6634	11795
360	6653	11776
361	6671	11758
362	6691	11741
363	6710	11724
364	6728	11705
365	6747	11687
366	6765	11669
367	6783	11649
368	6801	11631
369	6819	11611
370	6837	11593
371	6855	11573
372	6873	11554
373	6892	11536
374	6911	11519
375	6931	11502
376	6950	11486
377	6969	11468
378	6987	11448
379	7005	11430
380	7024	11411
381	7043	11394
382	7062	11376
383	7081	11359
384	7100	11342
385	7119	11324
386	7138	11307
387	7157	11289
388	7175	11270
389	7194	11252
390	7212	11234
391	7231	11216
392	7249	11197
393	7268	11179
394	7284	11157
395	7303	11140
396	7322	11121
397	7339	11102
398	7358	11084
399	7377	11065
400	7397	11049
401	7415	11031
402	7434	11013
403	7452	10994
404	7471	10976
405	7490	10958
406	7507	10937
407	7527	10921
408	7545	10903
409	7563	10884
410	7582	10866
411	7602	10850
412	7621	10832
413	7640	10814
414	7658	10796
415	7678	10778
416	7696	10760
417	7715	10742
418	7733	10723
419	7752	10705
420	7770	10687
421	7788	10668
422	7807	10649
423	7825	10631
424	7843	10611
425	7862	10593
426	7879	10574
427	7899	10556
428	7917	10538
429	7937	10521
430	7955	10502
431	7973	10484
432	7993	10466
433	8011	10448
434	8030	10430
435	8049	10412
436	8067	10394
437	8086	10376
438	8105	10358
439	8125	10341
440	8145	10324
441	8163	10305
442	8181	10287
443	8199	10267
444	8217	10249
445	8236	10231
446	8254	10212
447	8273	10193
448	8290	10174
449	8309	10155
450	8328	10138
451	8345	10117
452	8363	10098
453	8382	10080
454	8400	10062
455	8419	10043
456	8436	10024
457	8455	10006
458	8474	9988
459	8492	9969
460	8512	9952
461	8531	9934
462	8549	9916
463	8567	9897
464	8586	9879
465	8605	9861
466	8623	9842
467	8642	9824
468	8662	9807
469	8681	9789
470	8700	9771
471	8719	9754
472	8737	9735
473	8756	9716
474	8775	9698
475	8794	9681
476	8813	9663
477	8830	9643
478	8849	9624
479	8867	9606
480	8886	9588
481	8904	9569
482	8923	9551
483	8942	9533
484	8961	9515
485	8979	9496
486	8998	9478
487	9016	9460
488	9035	9442
489	9054	9423
490	9073	9406
491	9092	9387
492	9110	9369
493	9129	9350
494	9148	9333
495	9167	9315
496	9186	9297
497	9206	9280
498	9225	9262
499	9245	9245
500	9263	9226
501	9281	9207
502	9301	9190
503	9320	9172
504	9338	9153
505	9357	9135
506	9376	9117
507	9396	9100
508	9414	9081
509	9432	9062
510	9451	9044
511	9468	9025
512	9492	9010
513	9511	8992
514	9529	8974
515	9549	8956
516	9567	8938
517	9588	8921
518	9606	8903
519	9627	8886
520	9646	8868
521	9664	8850
522	9683	8831
523	9701	8812
524	9720	8794
525	9739	8776
526	9758	8758
527	9776	8739
528	9795	8721
529	9813	8702
530	9833	8685
531	9852	8667
532	9870	8648
533	9888	8629
534	9908	8612
535	9928	8594
536	9946	8576
537	9965	8558
538	9984	8539
539	10003	8521
540	10022	8503
541	10042	8485
542	10060	8467
543	10079	8449
544	10098	8430
545	10117	8412
546	10136	8394
547	10154	8375
548	10174	8357
549	10192	8339
550	10211	8320
551	10229	8302
552	10248	8283
553	10266	8265
554	10285	8247
555	10305	8229
556	10323	8210
557	10342	8192
558	10361	8174
559	10380	8156
560	10399	8138
561	10418	8120
562	10437	8101
563	10455	8082
564	10474	8064
565	10493	8046
566	10513	8028
567	10532	8010
568	10552	7993
569	10572	7975
570	10591	7957
571	10610	7938
572	10630	7921
573	10649	7903
574	10668	7885
575	10687	7867
576	10705	7848
577	10724	7830
578	10742	7811
579	10760	7792
580	10779	7773
581	10798	7755
582	10816	7736
583	10835	7718
584	10854	7700
585	10873	7681
586	10892	7663
587	10911	7645
588	10933	7629
589	10964	7619
590	10983	7600
591	11001	7581
592	11020	7563
593	11036	7543
594	11055	7525
595	11074	7506
596	11093	7488
597	11111	7469
598	11129	7450
599	11148	7432
600	11167	7413
601	11186	7395
602	11204	7376
603	11222	7358
604	11239	7338
605	11256	7318
606	11275	7300
607	11294	7282
608	11314	7264
609	11333	7245
610	11351	7227
611	11371	7209
612	11389	7190
613	11409	7172
614	11427	7153
615	11446	7135
616	11464	7116
617	11484	7098
618	11503	7080
619	11522	7062
620	11541	7044
621	11561	7026
622	11580	7007
623	11599	6989
624	11618	6971
625	11637	6952
626	11655	6933
627	11675	6915
628	11694	6897
629	11713	6879
630	11732	6860
631	11751	6842
632	11770	6824
633	11789	6806
634	11809	6788
635	11827	6769
636	11846	6750
637	11865	6732
638	11883	6713
639	11902	6695
640	11921	6676
641	11939	6657
642	11958	6639
643	11977	6620
644	11996	6602
645	12015	6584
646	12034	6566
647	12053	6547
648	12072	6529
649	12090	6510
650	12108	6491
651	12127	6472
652	12145	6453
653	12164	6435
654	12183	6417
655	12201	6398
656	12221	6380
657	12240	6362
658	12259	6343
659	12278	6325
660	12298	6307
661	12317	6288
662	12336	6270
663	12355	6252
664	12374	6233
665	12394	6215
666	12413	6197
667	12432	6179
668	12452	6161
669	12471	6142
670	12490	6124
671	12508	6105
672	12527	6087
673	12546	6068
674	12564	6049
675	12584	6031
676	12604	6013
677	12624	5995
678	12643	5977
679	12661	5958
680	12681	5940
681	12700	5921
682	12719	5903
683	12738	5885
684	12758	5866
685	12777	5848
686	12795	5829
687	12814	5811
688	12833	5792
689	12852	5774
690	12872	5756
691	12891	5737
692	12910	5719
693	12929	5701
694	12949	5682
695	12967	5664
696	12987	5645
697	13008	5628
698	13028	5610
699	13047	5591
700	13063	5572
701	13082	5553
702	13102	5535
703	13122	5517
704	13141	5499
705	13161	5480
706	13180	5462
707	13199	5443
708	13218	5425
709	13238	5407
710	13257	5388
711	13279	5371
712	13298	5353
713	13318	5334
714	13337	5316
715	13356	5297
716	13374	5279
717	13394	5260
718	13413	5242
719	13433	5224
720	13449	5204
721	13468	5185
722	13487	5167
723	13505	5148
724	13523	5129
725	13542	5110
726	13563	5093
727	13582	5074
728	13601	5056
729	13620	5037
730	13640	5019
731	13660	5001
732	13679	4982
733	13699	4964
734	13719	4946
735	13739	4928
736	13758	4909
737	13775	4890
738	13794	4871
739	13811	4852
740	13831	4834
741	13851	4816
742	13870	4797
743	13890	4779
744	13909	4760
745	13928	4742
746	13947	4723
747	13966	4705
748	13984	4686
749	14004	4668
750	14022	4649
751	14041	4630
752	14059	4611
753	14078	4593
754	14098	4574
755	14117	4556
756	14136	4537
757	14155	4519
758	14174	4500
759	14193	4482
760	14212	4463
761	14231	4444
762	14250	4426
763	14270	4408
764	14289	4389
765	14308	4371
766	14328	4352
767	14347	4334
768	14367	4315
769	14386	4297
770	14405	4278
771	14424	4260
772	14443	4241
773	14463	4223
774	14482	4204
775	14502	4186
776	14521	4167
777	14540	4149
778	14558	4130
779	14577	4111
780	14598	4093
781	14617	4074
782	14637	4056
783	14656	4038
784	14676	4019
785	14696	4001
786	14715	3982
787	14733	3963
788	14752	3945
789	14772	3926
790	14791	3908
791	14810	3889
792	14829	3871
793	14849	3852
794	14868	3833
795	14887	3815
796	14906	3796
797	14925	3778
798	14944	3759
799	14964	3741
800	14983	3722
801	15003	3704
802	15022	3685
803	15040	3666
804	15060	3648
805	15079	3629
806	15099	3611
807	15117	3592
808	15136	3573
809	15156	3555
810	15175	3536
811	15195	3518
812	15215	3499
813	15235	3481
814	15255	3462
815	15275	3444
816	15295	3426
817	15314	3407
818	15333	3388
819	15352	3370
820	15372	3351
821	15390	3332
822	15409	3313
823	15428	3295
824	15447	3276
825	15466	3258
826	15483	3238
827	15502	3220
828	15521	3201
829	15540	3182
830	15560	3164
831	15578	3145
832	15597	3126
833	15617	3108
834	15636	3089
835	15654	3071
836	15674	3052
837	15693	3033
838	15712	3015
839	15731	2996
840	15750	2977
841	15767	2958
842	15790	2940
843	15809	2922
844	15829	2903
845	15848	2884
846	15870	2866
847	15889	2848
848	15909	2829
849	15928	2810
850	15947	2792
851	15966	2773
852	15985	2754
853	16004	2736
854	16025	2717
855	16044	2698
856	16063	2680
857	16082	2661
858	16102	2643
859	16122	2624
860	16142	2606
861	16161	2587
862	16180	2568
863	16204	2550
864	16223	2531
865	16242	2513
866	16261	2494
867	16280	2475
868	16300	2457
869	16319	2438
870	16338	2419
871	16357	2401
872	16377	2382
873	16397	2363
874	16416	2345
875	16435	2326
876	16455	2307
877	16474	2289
878	16494	2270
879	16512	2251
880	16530	2232
881	16550	2214
882	16570	2195
883	16590	2177
884	16609	2158
885	16629	2139
886	16648	2120
887	16667	2102
888	16687	2083
889	16706	2064
890	16725	2046
891	16745	2027
892	16765	2008
893	16784	1990
894	16804	1971
895	16823	1952
896	16843	1934
897	16862	1915
898	16882	1896
899	16901	1877
900	16921	1859
901	16940	1840
902	16959	1821
903	16978	1803
904	16998	1784
905	17017	1765
906	17036	1746
907	17056	1728
908	17075	1709
909	17094	1690
910	17113	1671
911	17135	1653
912	17155	1634
913	17174	1615
914	17193	1597
915	17212	1578
916	17232	1559
917	17252	1541
918	17271	1522
919	17292	1503
920	17312	1485
921	17332	1466
922	17351	1447
923	17371	1428
924	17391	1410
925	17412	1391
926	17431	1372
927	17451	1354
928	17471	1335
929	17490	1316
930	17508	1297
931	17528	1278
932	17547	1260
933	17566	1241
934	17585	1222
935	17605	1203
936	17624	1185
937	17644	1166
938	17663	1147
939	17682	1128
940	17702	1109
941	17721	1091
942	17740	1072
943	17760	1053
944	17779	1034
945	17799	1016
946	17819	997
947	17838	978
948	17858	959
949	17877	940
950	17896	922
951	17915	903
952	17934	884
953	17954	865
954	17974	846
955	17993	828
956	18013	809
957	18032	790
958	18052	771
959	18071	752
960	18090	734
961	18109	715
962	18129	696
963	18147	677
964	18166	658
965	18185	640
966	18204	621
967	18223	602
968	18242	583
969	18261	564
970	18280	545
971	18300	527
972	18318	508
973	18336	489
974	18356	470
975	18375	451
976	18392	432
977	18411	414
978	18431	395
979	18450	376
980	18469	357
981	18488	338
982	18508	320
983	18529	301
984	18548	282
985	18566	263
986	18585	244
987	18605	225
988	18625	207
989	18644	188
990	18663	169
991	18683	150
992	18702	131
993	18721	113
994	18740	94
995	18759	75
996	18778	56
997	18796	37
998	18816	18
999	18840	0
